City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
San Antonio,90,CL,1562897631,50,1.12,-33.58,-71.61,100
Sola,81,TZ,1562897656,62.28,6.62,-3.17,33.8,69
Pierre,1,US,1562897593,84.99,12.75,44.37,-100.35,62
Goure,100,NE,1562897657,82.75,18.1,13.98,10.27,59
Arraial do Cabo,0,BR,1562897657,55.4,2.24,-22.97,-42.02,93
Faanui,7,PF,1562897657,78.27,5.59,-16.48,-151.75,69
Port Macquarie,0,AU,1562897657,72,12.75,-31.43,152.91,32
Ostrovnoy,100,RU,1562897657,40.52,24.61,68.05,39.51,98
Poronaysk,100,RU,1562897658,50.75,3.85,49.22,143.1,98
New Norfolk,75,AU,1562897658,46.4,17.22,-42.78,147.06,70
Pochutla,90,MX,1562897658,82.99,1.5,15.74,-96.47,78
Hanna,0,CA,1562897658,69.01,1.99,51.64,-111.93,59
Bara,100,NG,1562897658,70.01,8.79,10.41,10.6,95
Avera,90,US,1562897659,87.8,4.9,33.19,-82.53,74
Beyneu,0,KZ,1562897659,90.06,9.53,45.32,55.19,23
Bambous Virieux,20,MU,1562897476,68,6.93,-20.34,57.76,82
Birin,100,NP,1562897659,63.99,2.68,26.89,88.07,99
Barrow,88,AR,1562897659,47.97,1.32,-38.31,-60.23,83
Itaunja,90,IN,1562897660,78.8,2.24,27.08,80.92,100
Hervey Bay,0,AU,1562897660,81,5.82,-25.3,152.85,25
Hobart,75,AU,1562897659,46.4,17.22,-42.88,147.33,70
Nikolskoye,20,RU,1562897660,51.01,4.47,59.7,30.79,81
Ancud,90,CL,1562897660,46.4,14.99,-41.87,-73.83,93
Japura,0,ID,1562897661,83.6,4.7,-0.42,102.29,63
East London,29,ZA,1562897661,53.36,11.54,-33.02,27.91,87
Namibe,9,AO,1562897661,64.57,12.44,-15.19,12.15,85
Hilo,75,US,1562897378,84.2,13.87,19.71,-155.08,54
Siedlce,57,PL,1562897661,54,5.5,52.17,22.28,81
Husavik,20,CA,1562897604,80.01,5.99,50.56,-96.99,62
Bredasdorp,96,ZA,1562897662,55.4,5.82,-34.53,20.04,87
Balkanabat,95,TM,1562897662,90.2,6.35,39.51,54.36,34
Marsa Matruh,40,EG,1562897662,80.6,6.93,31.35,27.25,83
Tilichiki,49,RU,1562897662,62,8.72,60.47,166.1,66
Kaitangata,100,NZ,1562897496,48,1.99,-46.28,169.85,76
Mehamn,0,NO,1562897526,44.93,6.2,71.03,27.85,62
Aykhal,90,RU,1562897663,59,2.24,65.95,111.51,87
Vao,43,EE,1562897663,48.03,5.68,59.1,26.19,78
Punta Arenas,90,CL,1562897663,39.2,17.22,-53.16,-70.91,93
Porosozero,100,RU,1562897663,41.71,7.27,62.72,32.71,96
Castro,90,CL,1562897664,46.4,14.99,-42.48,-73.76,93
Solwezi,0,ZM,1562897664,46.35,6.82,-12.18,26.4,63
Mahanoro,0,MG,1562897664,61.13,2.44,-19.9,48.8,96
Ginir,54,ET,1562897715,55.95,4.97,7.14,40.71,95
Vila Velha,75,BR,1562897715,86,10.29,-3.71,-38.6,78
Cidreira,100,BR,1562897715,61.15,8.93,-30.17,-50.22,73
Nabire,30,ID,1562897715,78.61,6.82,-3.36,135.5,64
Cockburn Town,2,TC,1562897629,81.47,17.43,21.46,-71.14,82
Dingle,73,PH,1562897716,84.08,5.86,11,122.67,72
Port Alfred,98,ZA,1562897716,59,5.01,-33.59,26.89,82
Berlevag,0,NO,1562897716,44.1,6.11,70.86,29.09,77
Kirakira,74,SB,1562897716,83.92,12.44,-10.46,161.92,74
Oranjemund,0,ZA,1562897717,55.12,12.62,-28.55,16.43,87
Price,1,US,1562897720,80.6,4.7,39.6,-110.81,21
Kindu,89,CD,1562897720,69.36,2.77,-2.95,25.92,94
Khatanga,83,RU,1562897720,55.78,11.92,71.98,102.47,48
Greytown,0,ZA,1562897720,47.56,1.63,-29.06,30.59,24
Saint-Pierre,0,FR,1562897721,66.2,6.93,48.95,4.24,77
Atuona,25,PF,1562897721,80.97,18.72,-9.8,-139.03,78
Can,53,IT,1562897721,66.2,1.12,46.08,11.97,100
Imbituba,0,BR,1562897721,60.8,3.36,-28.24,-48.67,93
Puerto Suarez,0,BO,1562897722,70.4,5.75,-18.96,-57.8,47
Sindor,22,RU,1562897722,51.52,4.34,62.87,51.9,69
Clyde River,90,CA,1562897722,39.2,16.11,70.47,-68.59,93
Airai,6,TL,1562897722,84.46,1.16,-8.93,125.41,41
Nanortalik,100,GL,1562897722,38.87,2.08,60.14,-45.24,95
San Patricio,0,PY,1562897583,67.41,9.13,-26.98,-56.83,72
Armidale,0,AU,1562897723,52,8.01,-30.51,151.67,59
Buraydah,0,SA,1562897723,80.6,4.7,26.33,43.97,30
Lasa,90,CY,1562897723,78.8,9.17,34.92,32.53,83
Severo-Kurilsk,100,RU,1562897723,43.58,7.16,50.68,156.12,96
Guerrero Negro,0,MX,1562897707,67.92,21.9,27.97,-114.04,81
Sitka,59,US,1562897724,78.01,9.31,37.17,-99.65,62
Ribeira Grande,0,PT,1562897724,70.91,4.92,38.52,-28.7,78
Srivardhan,100,IN,1562897724,80.72,11.54,18.03,73.02,87
Suileng,65,CN,1562897724,79.08,2.98,47.25,127.08,59
Ngaoundere,100,CM,1562897725,62.97,6.04,7.32,13.58,97
Kiama,75,AU,1562897583,64.99,18.34,-34.67,150.86,48
Belmonte,1,PT,1562897725,66.99,3.44,40.36,-7.35,61
Aklavik,75,CA,1562897725,50,12.75,68.22,-135.01,57
Dawlatabad,0,AF,1562897725,91.64,4.16,36.41,64.91,12
Geraldton,20,CA,1562897726,68,6.93,49.72,-86.95,60
Sioux Lookout,75,CA,1562897525,75.2,3.36,50.1,-91.92,56
Bay Roberts,90,CA,1562897726,48,10.29,47.58,-53.28,100
Kahului,20,US,1562897726,86,17.22,20.89,-156.47,48
Lompoc,90,US,1562897693,71.01,12.75,34.64,-120.46,82
Omboue,100,GA,1562897729,73.17,6.46,-1.57,9.26,89
Sao Gabriel da Cachoeira,0,BR,1562897730,71.07,0.58,-0.13,-67.09,94
Beira,90,ES,1562897663,63,1.12,43.2,-8.36,100
Severodvinsk,90,RU,1562897730,41,4.47,64.56,39.82,100
Trairi,76,BR,1562897775,69.88,4.07,-3.28,-39.27,92
Fort Nelson,75,CA,1562897775,82.4,8.05,58.81,-122.69,26
Hobyo,38,SO,1562897775,76.9,16.31,5.35,48.53,76
Port Hedland,0,AU,1562897776,78.8,21.92,-20.31,118.58,15
Surt,3,LY,1562897776,78.59,2.64,31.21,16.59,86
Bangassou,100,CF,1562897776,67.74,2.26,4.74,22.82,99
Kisarawe,20,TZ,1562897776,69.8,3.36,-6.9,39.07,94
Sechura,0,PE,1562897777,64.01,10.22,-5.56,-80.82,87
Bereda,90,ES,1562897777,62.01,1.12,43.27,-7.54,100
Dhidhdhoo,100,MV,1562897777,83.36,8.14,6.88,73.1,75
Leningradskiy,67,RU,1562897777,53.86,10.07,69.38,178.42,64
Sarangani,100,PH,1562897778,81.2,9.26,5.4,125.46,76
Atar,5,MR,1562897778,84.03,1.36,20.52,-13.05,28
Ilulissat,0,GL,1562897778,46.4,2.86,69.22,-51.1,81
Regen,100,DE,1562897778,60.01,1.5,48.97,13.13,90
Vuktyl,1,RU,1562897778,51.95,5.19,63.86,57.31,76
Codrington,0,AU,1562897779,72,11.41,-28.95,153.24,28
Victoria,75,BN,1562897702,84.2,5.82,5.28,115.24,79
Atambua,0,ID,1562897779,76.93,10.87,-9.11,124.89,70
Turki,100,RU,1562897779,55.8,4.65,51.98,43.27,89
Rome,0,IT,1562897779,73.4,2.24,41.89,12.48,83
Zyryanka,57,RU,1562897780,84.24,10.11,65.73,150.89,35
Erie,1,US,1562897780,75.2,4.7,42.13,-80.09,78
Somerset,1,US,1562897558,73.4,6.93,41.77,-71.13,83
Meulaboh,100,ID,1562897538,81.81,6.26,4.14,96.13,80
San Cristobal,100,HN,1562897780,69.16,7.38,14.68,-86.92,83
Chenghai,75,CN,1562897780,84.2,2.24,23.46,116.77,89
Vanimo,97,PG,1562897781,80.07,5.66,-2.67,141.3,75
San Felipe,69,CL,1562897726,45,0.27,-32.75,-70.73,99
Sembakung,40,ID,1562897781,78.8,2.04,3.82,117.25,88
Azul,100,AR,1562897683,52,3.4,-36.78,-59.86,87
Sorland,87,NO,1562897781,48.73,23.49,67.67,12.69,85
Tiarei,75,PF,1562897782,82.4,8.05,-17.53,-149.33,65
Urucara,96,BR,1562897782,75.42,1.32,-2.54,-57.76,86
Waipawa,100,NZ,1562897782,53.01,4,-39.94,176.59,77
Vardo,1,US,1562897782,72,3.04,39.62,-77.74,94
Esperance,90,AU,1562897749,55.4,8.05,-33.86,121.89,100
Koslan,2,RU,1562897783,47.23,4.97,63.46,48.9,76
Waddan,0,LY,1562897783,81.13,5.08,29.16,16.14,31
Torbay,90,CA,1562897627,48,10.29,47.66,-52.73,100
Hamilton,20,CA,1562897783,73.4,5.82,43.26,-79.87,73
Roald,49,NO,1562897783,51.8,16.11,62.58,6.12,87
Port Alberni,40,CA,1562897835,71.01,13.87,49.24,-124.81,60
Mokobeng,0,BW,1562897835,46.59,2.06,-23,27.67,55
Tiksi,99,RU,1562897835,56.11,12.03,71.64,128.87,69
Mushie,100,CD,1562897836,70.87,1.5,-3.02,16.92,72
Conde,21,BR,1562897836,65.09,2.24,-11.81,-37.61,97
Scottsbluff,1,US,1562897555,99,7.29,41.87,-103.67,24
Okakarara,0,NA,1562897836,47.52,7.99,-20.59,17.46,33
Hasaki,75,JP,1562897836,70,8.05,35.73,140.83,94
Isabela,87,PH,1562897836,82.21,4.56,10.2,122.99,74
Norman Wells,75,CA,1562897837,57.2,14.99,65.28,-126.83,54
Deputatskiy,74,RU,1562897561,72.54,10.29,69.3,139.9,41
Dikson,100,RU,1562897837,35.43,13.33,73.51,80.55,88
Quang Ngai,6,VN,1562897639,96.23,1.72,15.12,108.8,39
Areia Branca,40,BR,1562897837,75.2,9.17,-10.76,-37.31,88
Maldonado,75,UY,1562897837,55.4,5.82,-34.91,-54.96,93
Nevelsk,75,RU,1562897838,66.2,4.47,46.67,141.86,82
Canutama,0,BR,1562897838,74.88,2.13,-6.53,-64.38,75
Borogontsy,1,RU,1562897838,89.53,2.1,62.67,131.17,35
Broome,47,GB,1562897838,64.4,8.05,52.47,1.45,88
Bethel,90,US,1562897839,69.8,12.75,60.79,-161.76,68
Rawson,0,AR,1562897839,44.73,6.38,-43.3,-65.11,50
Maniitsoq,49,GL,1562897839,43.76,6.93,65.42,-52.9,93
Gweta,0,BW,1562897839,53.63,9.19,-20.21,25.26,32
Gornoye Loo,90,RU,1562897839,68,4.47,43.72,39.61,100
Kamenka,81,MD,1562897819,48,3.76,48.03,28.7,91
Manta,0,RO,1562897840,48.41,2.3,45.1,24.1,78
Honningsvag,0,NO,1562897840,46.14,5.23,70.98,25.97,74
Talara,0,PE,1562897840,65.42,18.32,-4.58,-81.27,88
Amapa,75,HN,1562897840,84.2,19.46,15.09,-87.97,74
Casper,1,US,1562897841,93.2,8.05,42.87,-106.31,9
Iqaluit,90,CA,1562897841,41,8.05,63.75,-68.52,93
Georgetown,20,GY,1562897783,77,1.43,6.8,-58.16,100
Mana,100,NG,1562897841,79.4,19.01,13.03,5.27,70
Mali,99,CN,1562897841,67.23,1.99,27.53,102.2,91
Haines Junction,54,CA,1562897841,61.42,10.74,60.75,-137.51,52
Chik,0,RU,1562897842,62.6,4.47,54.99,82.44,72
Hami,100,CN,1562897842,79.85,9.62,42.84,93.51,26
Salalah,100,OM,1562897842,76.81,3.65,17.01,54.1,94
Atascocita,90,US,1562897842,91.99,12.75,30,-95.16,55
Lebu,75,ET,1562897843,55.4,4.7,8.96,38.73,87
Klaksvik,25,FO,1562897544,50,8.05,62.23,-6.59,100
Santa Rita,0,BR,1562897843,73.4,2.24,-7.13,-34.98,94
Walvis Bay,0,NA,1562897843,57.2,3.36,-22.95,14.51,93
Tasiilaq,6,GL,1562897843,41,4.7,65.61,-37.64,86
Pahrump,1,US,1562897822,107.01,11.41,36.21,-115.98,9
Saint-Joseph,75,FR,1562897844,78.8,3.36,43.56,6.97,83
Richards Bay,0,ZA,1562897895,70.08,7.02,-28.77,32.06,38
Tuljapur,100,IN,1562897895,76.59,12.57,18.01,76.07,80
Navoi,0,IT,1562897898,66.2,1.12,46.17,11.83,100
Point Fortin,20,TT,1562897899,79,5.82,10.16,-61.68,78
Buenos Aires,90,AR,1562897845,60.01,11.41,-34.61,-58.44,87
Fairbanks,90,US,1562897899,82.4,10.29,64.84,-147.72,34
San Carlos de Bariloche,75,AR,1562897899,39.2,8.05,-41.13,-71.31,80
Padang,0,ID,1562897899,82.08,3.94,-0.92,100.36,74
Cochrane,100,CL,1562897900,32.37,2.91,-47.25,-72.57,97
Lagoa,20,PT,1562897900,70,5.82,37.14,-8.45,94
Blackfoot,1,US,1562897900,93.2,10.29,43.19,-112.35,19
Gunupur,99,IN,1562897900,83.06,2.46,19.07,83.81,73
Benghazi,0,LY,1562897900,77.44,12.1,32.12,20.07,80
Chuy,100,UY,1562897901,56.52,8.1,-33.69,-53.46,89
Isangel,90,VU,1562897901,78.8,9.17,-19.55,169.27,74
San Jeronimo,0,PE,1562897901,41.58,1.34,-13.65,-73.37,69
Rognan,75,NO,1562897901,53.01,3.36,67.1,15.4,93
Wattegama,78,LK,1562897901,81.78,4.41,7.35,80.68,66
Longyan,91,CN,1562897902,84.08,7.76,25.1,117.03,62
Tautira,75,PF,1562897902,82.4,8.05,-17.73,-149.15,65
Coquimbo,7,CL,1562897902,45,3.18,-29.95,-71.34,52
Mantua,5,IT,1562897902,69.8,2.24,45.16,10.79,94
Quatre Cocos,20,MU,1562897903,68,5.82,-20.21,57.76,82
Aljezur,100,PT,1562897903,70,6.46,37.31,-8.8,93
Port Elizabeth,90,US,1562897903,73.99,9.35,39.31,-74.98,94
Yellowknife,75,CA,1562897755,59,6.93,62.45,-114.38,82
Half Moon Bay,75,US,1562897903,73,10.29,37.46,-122.43,77
Talnakh,75,RU,1562897904,50,15.66,69.49,88.39,93
Mahebourg,20,MU,1562897904,68,5.82,-20.41,57.7,82
Longview,1,US,1562897888,87.01,4.7,32.5,-94.74,74
Zavodouspenskoye,20,RU,1562897904,73,2.24,56.86,65.02,82
Mashhad,0,IR,1562897791,69.8,2.24,36.3,59.61,37
Constitucion,75,MX,1562897905,68,12.75,23.99,-104.67,64
Saskylakh,67,RU,1562897905,58.67,15.08,71.97,114.09,46
Conceicao do Araguaia,9,BR,1562897793,73.23,1.72,-8.26,-49.26,59
Bandar-e Lengeh,63,IR,1562897905,89.21,5.03,26.56,54.88,65
Narsaq,20,GL,1562897905,46.4,4.7,60.91,-46.05,75
Poum,90,MK,1562897905,49.93,3.2,41.28,20.71,79
Bourail,69,NC,1562897906,70.6,8.05,-21.57,165.5,65
Kargasok,92,RU,1562897906,74,7.09,59.06,80.87,58
Sriperumbudur,40,IN,1562897906,84.2,9.17,12.97,79.95,74
Kavieng,93,PG,1562897615,81.9,18.9,-2.57,150.8,77
Fayaoue,89,NC,1562897906,73.26,20.92,-20.65,166.53,71
Katsuura,40,JP,1562897907,81,18.34,33.93,134.5,69
Lima,90,PE,1562897907,62.6,12.75,-12.06,-77.04,82
Pevek,73,RU,1562897907,48.32,3.36,69.7,170.27,72
Rundu,24,NA,1562897907,49.67,5.23,-17.91,19.77,31
Port Lincoln,100,AU,1562897955,55.7,31.14,-34.72,135.86,70
Labuhan,0,ID,1562897955,89.61,1.57,-2.54,115.51,52
Tuktoyaktuk,90,CA,1562897955,37.4,11.41,69.44,-133.03,86
Miri,97,NG,1562897955,68.91,5.17,10.31,9.75,90
Alofi,75,NU,1562897956,80.6,12.75,-19.06,-169.92,74
Ulaangom,100,MN,1562897956,54.72,6.04,49.98,92.07,92
Lavrentiya,0,RU,1562897956,73.16,7.99,65.58,-170.99,31
Ormond Beach,1,US,1562897902,80.6,4.81,29.29,-81.06,88
Banatski Karlovac,0,RS,1562897956,55.4,1.12,45.05,21.02,93
Primo Tapia,1,MX,1562897957,80.01,5.82,32.22,-116.92,77
Ilheus,40,BR,1562897957,71.6,6.93,-14.79,-39.05,94
Jumla,95,NP,1562897957,64.08,0.92,29.28,82.18,79
Platteville,1,US,1562897957,78.8,4.7,42.73,-90.48,69
Raudeberg,37,NO,1562897957,55.4,3.36,61.99,5.14,93
Bandarbeyla,100,SO,1562897958,80.37,25.86,9.49,50.81,56
Sterling,20,US,1562897958,73,5.97,39,-77.4,100
Namwala,41,ZM,1562897958,44.23,2.73,-15.75,26.45,78
Fortuna,90,US,1562897958,64,14.99,40.6,-124.16,93
Soyo,71,AO,1562897958,73.01,11.23,-6.13,12.37,87
Saint-Francois,0,FR,1562897959,60.8,3.36,46.42,3.91,82
Otavi,0,NA,1562897959,48.42,4.99,-19.64,17.34,36
Nuuk,2,GL,1562897959,42.8,8.05,64.17,-51.74,93
Lorengau,78,PG,1562897959,81.76,15.1,-2.02,147.27,74
Margate,75,AU,1562897960,46.4,17.22,-43.03,147.26,70
Taoudenni,42,ML,1562897960,96.65,8.77,22.68,-3.98,19
Hagersville,20,CA,1562897960,72,8.05,42.96,-80.05,77
Pidhorodna,33,UA,1562897960,51.52,7.4,48.11,30.89,91
Kaoma,24,ZM,1562897961,45.72,5.95,-14.8,24.8,63
Geisenheim,100,DE,1562897961,61,2.24,49.99,7.97,100
Sistranda,75,NO,1562897961,51.01,6.93,63.73,8.83,87
Talcahuano,40,CL,1562897961,50,4.7,-36.72,-73.12,93
Vestmannaeyjar,100,IS,1562897962,52.58,8.63,63.44,-20.27,90
Komsomolskiy,100,RU,1562897962,54.87,16.08,67.55,63.78,92
Batangafo,100,CF,1562897962,68.66,3.69,7.3,18.29,96
Longyearbyen,75,NO,1562897962,41,25.28,78.22,15.63,86
Presidencia Roque Saenz Pena,33,AR,1562897962,72.71,8.39,-26.79,-60.44,54
Sherlovaya Gora,100,RU,1562897963,83.54,6.17,50.53,116.31,29
Pangnirtung,100,CA,1562897963,57.87,5.59,66.15,-65.72,46
La Rioja,15,AR,1562897666,48.53,0.47,-29.41,-66.86,90
Vychegodskiy,88,RU,1562897963,47.22,0.58,61.25,46.88,87
Beringovskiy,0,RU,1562897963,69.02,5.66,63.05,179.32,51
New Smyrna Beach,1,US,1562897847,80.6,3.36,29.03,-80.93,83
Chimoio,0,MZ,1562897964,51.86,2.62,-19.11,33.48,70
Burnie,100,AU,1562897964,46.37,14.05,-41.05,145.91,65
Harlingen,90,NL,1562897964,62.01,4.7,53.18,5.41,100
Saint-Philippe,90,CA,1562897965,68,9.17,45.36,-73.48,100
Wai,96,IN,1562898015,78.59,8.28,17.95,73.89,84
Bogovina,0,RS,1562898015,53.6,3.36,43.9,21.94,81
Coihaique,100,CL,1562898015,32,2.28,-45.58,-72.07,98
Kruisfontein,21,ZA,1562898016,53.55,9.64,-34,24.73,85
Westerland,75,NL,1562898016,63,5.82,52.89,4.93,100
Aransas Pass,1,US,1562898016,87.01,4.7,27.91,-97.15,79
Cassilandia,0,BR,1562898016,60.27,4.03,-19.11,-51.73,43
Osa,100,RU,1562898017,57.8,5.48,57.28,55.46,94
Ilhabela,0,BR,1562898017,69.77,6.26,-23.78,-45.36,66
Forbes,99,AU,1562898017,57.99,14.83,-33.38,148.01,69
Samarai,100,PG,1562898017,75.41,10.96,-10.62,150.67,72
Acapulco,90,MX,1562898017,86,2.24,16.86,-99.88,74
Camacha,40,PT,1562898018,69.8,17.22,33.08,-16.33,82
Barkhan,0,PK,1562898018,88.74,3.53,29.9,69.52,30
Westport,90,US,1562897837,75.99,9.17,41.14,-73.36,88
Mount Gambier,40,AU,1562897849,50,17.22,-37.83,140.78,81
Mankato,1,US,1562897897,77,7.29,44.16,-94,73
Ayan,0,IR,1562898019,58.72,5.3,38.23,44.7,40
Cradock,0,ZA,1562898019,44.34,3.71,-32.16,25.62,43
Ziro,100,IN,1562898019,61.1,1.63,27.54,93.82,99
Kichera,0,RU,1562898019,71.88,4.21,55.93,110.1,44
Beatrice,1,US,1562897877,82.4,3.36,40.27,-96.75,57
Gigmoto,100,PH,1562898020,85.14,3.74,13.78,124.39,68
Brownsville,1,US,1562898020,87.8,6.93,25.91,-97.49,70
Moerai,69,PF,1562898020,71.93,15.12,-22.43,-151.33,91
Antalaha,57,MG,1562898020,60.88,2.53,-14.9,50.28,97
Saldanha,0,PT,1562898020,71.79,3.09,41.42,-6.55,47
Luderitz,0,NA,1562898021,55.28,12.77,-26.65,15.16,84
Alugan,100,PH,1562898021,80.55,1.14,12.22,125.48,86
La Palma,100,CO,1562898021,67.02,3.74,5.36,-74.39,95
Atkarsk,68,RU,1562898021,57.28,4.18,51.88,45.01,85
Qasigiannguit,0,GL,1562898021,46.4,1.86,68.82,-51.19,81
Nemuro,75,JP,1562898022,66.2,13.87,43.32,145.57,68
Tuatapere,100,NZ,1562898022,48,4,-46.13,167.69,86
Bitung,20,ID,1562898022,87.8,12.75,1.44,125.19,58
Maceio,75,BR,1562898022,73.4,3.36,-9.67,-35.74,94
Coroico,70,BO,1562898022,35.6,4.7,-16.19,-67.73,34
Suntar,0,RU,1562898023,83.87,4.54,62.16,117.65,42
Namatanai,100,PG,1562898023,79.33,25.01,-3.66,152.44,69
Kralendijk,20,BQ,1562898023,82.4,13.87,12.15,-68.27,74
Mazagao,20,BR,1562898023,78.8,4.7,-0.12,-51.29,100
Ellwangen,60,DE,1562898023,57.99,3.67,47.98,9.94,87
Belyy Yar,0,RU,1562898024,66.2,15.66,53.6,91.39,68
Vredendal,0,ZA,1562898024,56.52,12.19,-31.68,18.49,88
Balkhash,91,KZ,1562898024,76,20.29,46.84,74.98,32
Ouadda,100,CF,1562898024,65.36,2.64,8.07,22.4,98
Masvingo,0,ZW,1562898075,48.12,2.26,-20.08,30.83,48
Parana,80,BR,1562898075,76.14,2.19,-7.52,-72.89,73
Muyezerskiy,100,RU,1562898007,41.82,7.87,63.93,31.65,84
Tazovskiy,26,RU,1562898075,59.75,18.92,67.47,78.7,79
Grants Pass,75,US,1562898076,87.8,9.17,42.44,-123.33,44
Shancheng,98,CN,1562898076,78.68,3.58,26.9,117.17,86
Veshkayma,92,RU,1562898076,57.55,7.23,54.05,47.12,89
Anadyr,0,RU,1562898076,71.6,11.18,64.73,177.51,46
High Prairie,3,CA,1562898076,65.36,2.64,55.43,-116.48,77
Mogadishu,98,SO,1562897935,74.81,7.92,2.04,45.34,90
Dayong,20,CN,1562898077,86,8.95,25.02,118.29,79
Saint George,40,GR,1562898077,64.4,1.07,39.45,22.34,82
Aswan,0,EG,1562898077,89.6,3.36,24.09,32.9,17
Berlin,75,DE,1562897635,64.99,4.7,52.52,13.39,82
Santa Marta,40,CO,1562898077,86,6.93,11.24,-74.21,62
Shitanjing,100,CN,1562898078,90,1.01,39.23,106.34,23
Arnedo,0,ES,1562898078,70,5.82,42.23,-2.1,63
Denpasar,40,ID,1562898078,80.6,11.41,-8.65,115.22,78
Desbiens,90,CA,1562898078,69.8,5.82,48.42,-71.95,83
Petrivka,0,UA,1562898079,59,4.47,46.91,30.72,67
Totness,1,US,1562898079,84.2,6.93,33.74,-80.8,74
Verkhnevilyuysk,3,RU,1562898079,84.64,5.79,63.45,120.31,35
The Valley,40,AI,1562898079,82.4,11.41,18.22,-63.06,74
Kalga,33,RU,1562898079,83.11,5.95,50.92,118.9,29
Pacific Grove,1,US,1562898080,80.6,11.41,36.62,-121.92,68
La Colorada,100,PA,1562898080,75.69,3.74,8.02,-80.98,92
Inhambane,0,MZ,1562898080,57.37,3.83,-23.87,35.38,89
Narva-Joesuu,74,EE,1562898080,53.64,7.18,59.46,28.04,63
Hazorasp,0,UZ,1562898080,77,2.24,41.32,61.08,50
Salvador,20,BR,1562898081,77,19.46,-12.98,-38.48,69
Esmeralda,0,CL,1562898081,45.8,1.79,-34.33,-70.9,93
Palanga,0,RO,1562898081,53.08,6.13,44.45,25.08,84
Cananea,90,MX,1562898081,89.01,11.41,30.98,-110.3,20
Conakry,100,GN,1562898082,79.8,9.42,9.52,-13.7,81
Batticaloa,4,LK,1562898082,87.12,1.72,7.71,81.69,60
